Liste des organismes bénéficiaires du Fonds européen de développement régional et du Fonds social européen en Lorraine,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation

Données actualisées au 18/10/2009",,,,,,,,,
Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégorisation,Libellé catégorisation
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D'INSERTION ASSOCIATIF AIEM EQUIP'TOIT 2009,"80,000 €","40,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST / FLORANGE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D'INSERTION ASSOCIATIF AIEM OUVRIERS D'ENTRETIEN 2007,"37,500 €","18,750 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,CHANTIER D'INSERTION ASSOCIATIF AIEM OUVRIERS DU BATIMENT 2009,"37,500 €","18,750 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,ENTRAIDE FIL,"72,427 €","32,147 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE / METZ / METZ,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,Vers l'emploi des femmes à Fameck,"99,755 €","49,755 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST / FAMECK,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,Vers l'emploi des femmes à Moyeuvre Grande,"96,883 €","47,883 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST / MOYEUVRE-GRANDE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AIEM - Association d'Information et d'Entraide Mosellane,Vers l'emploi des femmes à Uckange,"92,658 €","46,158 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST / FLORANGE / UCKANGE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
AISF ASSOCIATION D'INTERVENTION SOCIALE DE LA FENSCH,CHANTIER D'INSERTION ASSOCIATIF AISF FAMECK 2007,"37,500 €","18,750 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / THIONVILLE-OUEST / FAMECK,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ALEXIS,Accompagnement des créateurs socialement en difficulté,"150,203 €","52,028 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
ALEXIS,ALEXIS TRAVAILLEURS INDEPENDANTS 2008,"71,764 €","24,332 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
ALEXIS,Cercle des créatrices - Bassin Houiller,"80,000 €","33,034 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / FORBACH,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
ALEXIS,Cercle des créatrices-Zone d'Emploi de Metz,"95,000 €","47,400 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE / METZ-VILLE,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
ALEXIS,COUVEUSE D'ENTREPRISE A L'ESSAI,"191,438 €","38,388 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
ALEXIS,Dispositif Local d'Accompagnement des Vosges - Fonds d'ingénierie,"146,000 €","42,000 €",FONDS SOCIAL EUROPEEN,LORRAINE,VOSGES,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
ALEXIS,Le Suivi Post Création,"93,945 €","24,575 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
ALEXIS,Le suivi Post création 2007,"86,516 €","21,265 €",FONDS SOCIAL EUROPEEN,LORRAINE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
ALEXIS,TRAVAILLEURS INDEPENDANTS ALEXIS 2007,"48,664 €","24,332 €",FONDS SOCIAL EUROPEEN,LORRAINE,MOSELLE,Programme opérationnel national Fonds social européen,71,Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées...
