name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
IHK Flensburg,"D/DK Regionalmanagement: Modul 1 
Grenzüberschreitende Wirtschafts- 
und Clusterentwicklung",2007,380520
ver.di-Forum Nord e.V.,"Weiterbildungsverbund Neumünster - 
Mittelholstein",2007,379614
"Beschäftigungs- und 
Qualifizierungsgesellschaft Stormarn 
mbH","Weiterbildungsverbund Stormarn - 
Herzogtum Lauenburg",2007,357625
"Volkshochschule der Landeshaupstadt 
Kiel",Kieler Forum Weiterbildung,2007,356329
Gemeinde Timmendorfer Strand,"Neugestaltung der Strandpromenade-
2.BA Timmendorfer Strand",2008,355019
Seeschlösschen Hotel,"Erweiterung einer Betriebsstätte in 
Timmendorfer Strand 
(Seeschlösschen Hotel)",2008,350000
Stadt Norderstedt -Volkshochschule-,"Weiterbildungsverbund Kreis 
Segeberg",2007,322122
"Wirtschaftsförderungs- und 
Regionalentwicklungsgesellschaft 
Flensburg/Schleswig mbH","Verlängerung Regionalmanagement 
Konversion in der Region Schleswig-
Flensburg",2008,317170
NUTECH GmbH,"Erweiterung einer Betriebsstätte 
(NUTECH)",2008,315645
Kreis Segeberg,"MedComm-Regionalmanagement 
Gesundheit Südholstein",2008,308294
Amt Berkenthin,"Erschließung des Gewerbegebietes B-
Plan 14 in der Gemeinde Kastorf",2008,303675
WEBAC Chemie GmbH,"Wasserbasierte Systeme zur 
Bauwerksabdichtung",2007,300000
"Wirtschaftsförderungsgesellschaft 
Nordfriesland","Regionalmanagement Konversion 
Nordfriesland",2008,297812
Glas+Spiegel-Schulz GmbH & Co. KG,"Entwicklung innovativer Glasprodukte 
mit multifunktionalen Eigenschaften 
inkl. der Produktionsprozesse",2008,296920
"Gabler Maschinenbau GmbH / Gabler 
Thermoform GmbH & Co KG","Erweiterung einer Betriebsstätte in 
Lübeck (Gabler)",2008,293480
Lambert & Christiansen GmbH,"Erweiterung einer Betriebsstätte in 
Harrislee (Lambert & Christiansen 
GmbH)",2007,280000
Jürgen Löhrke GmbH,"Entwicklung eines Reinigungsroboters 
für die Lebensmittelindustrie",2008,277445
Stadt Westerland,Sicherheitspaket Flughafen Sylt II.,2008,275280
MTT Technologies GmbH,"Entwicklung einer neuen Generation 
von Selektive Laser Melting Anlagen",2008,274831
Wirtschaftsförderung Lübeck GmbH,logRegio.net,2007,273525
Borba GmbH,"Erweiterung einer Betriebsstätte in 
Itzehoe (Borba)",2008,267109
"FLS Fuhrpark & Logistik Systeme 
GmbH",VisiTrans,2008,265000
nanoresins AG,"Entwicklung einer Isopropylalkohol-
Wasser-Aufbereitungsanlage für 
Nanocomposite mittels 
Membrantechnologie ",2007,258000
Landeshauptstadt Kiel,"Ertüchtigung Abfertigungsgebäude 
des Flughafens Kiel-Holtenau",2007,256000
"Wirtschaftsförderung und 
Technologietransfer Schleswig-Holstein 
GmbH",Innovationsberatung Geesthacht,2008,253400
Lohndirekt AG,"Erweiterungsverlagerung einer 
Betriebsstätte in Flensburg 
(Lohndirect)",2008,250000
"WEBAC Chemie GmbH / WEBAC 
Verwaltungsges. mbH","Erweiterung einer Betriebstätte 
(Webac)",2008,245000
