ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung, gewahrte_betrage ,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
263,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH","RL Praktikumsmaßnahmen zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 329,207.00 "
39,"AFG Arbeitsförderungsgesellschaft
Harz mbH","Erlebnisradwege ""Auf den Straßen der Romanik zu den
Gartenträumen""",2008," 328,320.00 "
124,"Bildungsvereinigung Arbeit und Leben
Sachsen-Anhalt e. V.","B- Fachkräftegewinnung und -entwicklung - ""Kinderkosmos""",2008," 326,957.00 "
151,"Bildungszentrum Schloß Kropstädt
GbR","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 316,746.00 "
666,"Schweißausbildungsstätte ""Altmark""
GmbH","Praktikumsmaßnahmen zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 316,000.00 "
105,"BBI - Bildungs- und Beratungsinstitut
GmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 315,622.00 "
859,"WORKS gGmbh Gemeinnütziges
Bildungswerk","RL Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 312,599.00 "
800,"Verein für Integration, Beschäftigung
und Soziales e.V.","Unterstützung der Kinderbetreuung in den Kita-Einrichtungen
und Horten im Landkreis Mansfeld-Südharz",2008," 302,403.57 "
126,"Bildungsvereinigung Arbeit und Leben
Sachsen-Anhalt e. V.","Mobil und praxisnah - Berufsorientierung in der Chemieregion
Sachsen-Anhalt",2008," 296,790.22 "
141,"Bildungswerk der Wirtschaft Sachsen-
Anhalt e.V.","Fachkräftereaktivierung im ingenieurtechnischen Bereich mit
dem Schwerpunkt Mechatronik",2008," 295,255.00 "
187,"BWSA Bildungswerk der Wirtschaft
Sachsen-Anhalt e. V.",Fachkräftereaktivierung im ingenieurtechnischen Bereich,2008," 295,255.00 "
255,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 290,709.00 "
808,"Verein zur Förderung der Kooperation
von Wissenschaft und Arbeitswelt in
Sachsen-Anhalt e. V.",Praxisbilder - Unternehmer an die Hochschulen,2008," 288,221.80 "
107,"BBI - Bildungs- und Beratungsinstitut
GmbH","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 282,574.00 "
545,Landkreis Mansfeld-Südharz,Qualifizierung von Existenzgründern,2008," 280,500.24 "
427,"Institut f. Marktwirtschaft
gemeinnützige GmbH","Zukunft mit Arbeit in der Landeshauptstadt Magdeburg,
Nicolaiplatz 6 in 39124 Magdeburg und Dr. Grosz-Str. 1 in
39126 Magdeburg",2008," 277,001.00 "
185,"BVU Bildungs-,Vermittlungs-
,Unternehmensberatungs-GmbH",GAJL - Gegen Abwanderung junger Landeskinder,2008," 276,135.00 "
260,"Europäisches Bildungswerk für Beruf
und Gesellschaft gGmbH","Praktikumsmaßnahme zur beruflichen Eingliederung am
Arbeitsmarkt benachteiligter Personen",2008," 271,024.00 "
432,Internationaler Bund e.V.,Absolventen U30,2008," 270,261.00 "
753,"Technologie- und Gründerzentrum
Jerichower Land GmbH",Qualifizierung von Existenzgründern,2008," 269,742.86 "
484,"Kompetenzzentrum
geschlechtergerechte Kinder- und
Jugendhilfe Sachsen-Anhalt e. V.","Netzwerk- und Servicestelle für geschlechtergerechte
Berufsorientierung und Lebenswegplanung in Sachsen-
Anhalt",2008," 269,004.00 "
697,"Stadt Halle, Eigenbetrieb für
Arbeitsförderung",Kita - Unterstützung in Hauswirtschaft,2008," 264,960.00 "
