"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"Com.di Campana. Interv.messa in sicurezza discarica controllata.","Comune di Campana(CS)","COMUNE DI CAMPANA","COMUNE DI CAMPANA","151.000,00","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Festival Euro Mediterraneo Altomonte - Proloco Altomonte","Comune di Altomonte(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Proloco Altomonte","206.000,00","206.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Adeg.discarica pubblica Fossa dello Zingaro.Terranova da Sibari","Comune di Terranova Da Sibari(CS)","COMUNE DI TERRANOVA DA SIBARI","COMUNE DI TERRANOVA DA SIBARI","507.449,04","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per lﾒattuazione del Piano Regionale per la Bonifica delle Aree Inquinate."
"Le Mostre annuali del Centro Capizzano - Centro ""A. Capizzano""","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Centro per l'Arte e la Cultura Achille Capizzano","128.520,41","128.520,40","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Settembre Rendese - Comune di Rende","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI RENDE","159.778,50","159.778,50","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Peperoncino Jazz Festival - Associazione Culturale Picanto","Comune di Castrovillari(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Culturale Picanto","67.680,00","67.680,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Festa delle Invasioni - Comune di Cosenza","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI COSENZA","285.000,00","285.000,00","142.500,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Le Strade del Paesaggio - Provincia di Cosenza","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","AMM.NE PROVINCIALE DI COSENZA","63.942,60","63.942,60","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Contaminazioni Culturali - Comune di Terranova da Sibari","Comune di Terranova Da Sibari(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI TERRANOVA DA SIBARI","33.279,34","33.279,34","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Presepe Vivente - Pro Loco Laino castello","Comune di Laino Castello(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Pro Loco di Laino Castello","7.896,52","7.896,52","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Stagione Teatrale Rossanese - Ass. Cult. Generazione Futura","Comune di Corigliano Calabro(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Ass. Cult. Generazione Futura","89.740,00","89.740,00","44.870,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Alba Jazz - Associazione Musicale Cluster","Comune di Corigliano Calabro(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Musicale Cluster","18.000,00","18.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Estate Nuova a Scalea - Comune di Scalea","Comune di Scalea(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI SCALEA","36.622,34","36.622,34","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Interventi di adeguamento e ammodernamento impianti di pubbl...","Comune di Grisolia(CS)","COMUNE DI GRISOLIA","COMUNE DI GRISOLIA","89.242,11","89.242,11","89.242,11","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Intervento di efficientamento degli impianti di illuminazion...","Comune di Belsito(CS)","COMUNE DI BELSITO","COMUNE DI BELSITO","92.631,58","91.351,18","91.351,18","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Interventi sugli impianti di illuminazione pubblica del terr...","Comune di Rota Greca(CS)","COMUNE DI ROTA GRECA","COMUNE DI ROTA GRECA","92.631,55","59.621,27","59.621,27","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Intervento di ottimizzazione dell'impianto di illuminazione ...","Comune di Santa Domenica Talao(CS)","COMUNE DI S.DOMENICA DI TALAO","COMUNE DI S.DOMENICA DI TALAO","101.052,63","106.426,50","106.426,50","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Risparmio energetico e contenimento dell'inquinamento lumino...","Comune di Marano Marchesato(CS)","COMUNE DI MARANO MARCHESATO","COMUNE DI MARANO MARCHESATO","92.631,58","29.291,16","29.291,16","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Adeguamento degli impianti di pubblica illuminazione di alcu...","Comune di Amantea(CS)","COMUNE DI AMANTEA","COMUNE DI AMANTEA","126.315,79","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Risparmio energetico e ammodernamento del sistema di illumin...","Comune di Spezzano Albanese(CS)","COMUNE DI SPEZZANO ALBANESE","COMUNE DI SPEZZANO ALBANESE","100.000,00","91.829,89","91.829,89","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Intervento di ottimizzazione dell'impianto di illuminazione ...","Comune di Santo Stefano Di Rog(CS)","COMUNE DI S.STEFANO DI ROGLIANO","COMUNE DI S.STEFANO DI ROGLIANO","101.052,63","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Bando per la promozione di iniziative nel campo del risparmi...","Comune di Serra Pedace(CS)","COMUNE DI SERRA PEDACE","COMUNE DI SERRA PEDACE","63.010,46","100.585,00","53.327,16","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Bando per la promozione di iniziative nel campo del risparmi...","Comune di Aiello Calabro(CS)","COMUNE DI AIELLO CALABRO","COMUNE DI AIELLO CALABRO","95.723,43","0,00","0,00","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Sostituzione parziale e potenziamento impianto della pubblic...","Comune di San Marco Argentano(CS)","COMUNE DI S.MARCO ARGENTANO ","COMUNE DI S.MARCO ARGENTANO ","121.960,00","113.500,00","110.668,60","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"RAC-AZ3-DOLCE ROSSA","Comune di Amantea(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","DOLCE ROSSA","515.525,00","515.524,98","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-AZIENDA AGRICOLA SAN MAURO","Comune di Corigliano Calabro(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","AZIENDA AGRICOLA SAN MAURO","497.000,00","496.999,98","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-SOCIATA' AGRICOLA NAMASTE' S.A.S","Comune di Castrolibero(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SOCIATA' AGRICOLA NAMASTE' S.A.S","566.000,00","565.999,96","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-TERRE DI CALABRIA","Comune di Corigliano Calabro(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","CONSORZIO OLIVICOLO TERRE DI CALABRIA SOC.CONS.COOP.COTEC","361.275,00","361.274,97","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-Oleificio GABRO srl","Comune di Cassano Allo Ionio(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Oleificio Gabro s.r.l.","340.000,00","339.999,97","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-CRATI","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","CRATI  S.C.R.L.","326.653,00","326.653,00","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-PETRAMALE ACCIAI SAS","Comune di Bisignano(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","PETRAMALE Acciai  s.a.s.  di Petramale Mario & C.","402.500,00","402.499,97","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-AGRIMAD","Comune di Corigliano Calabro(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","AGRIMAD S.R.L. ","585.500,00","585.499,97","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-ARAC","Comune di Montalto Uffugo(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","ARAC","471.000,00","470.999,98","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-A.PRO.ZOO","Comune di Montalto Uffugo(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","A.PRO.ZOO SCARL","365.000,00","364.999,96","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-SAN VINCENZO DI FERNANDO ROTA SRL","Comune di Spezzano Piccolo(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SAN VINCENZO DI FERNANDO ROTA SRL","425.500,00","425.500,00","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ3-DODARO S.p.A","Comune di Spezzano Piccolo(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SALUMIFICIO DODARO SPA","479.000,00","478.999,99","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"Premio Nazionale Luigiano d'Oro - Ass. Cult. Luigiano d'Oro","Comune di Acquappesa(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione Culturale ""Luigiano d'Oro""","29.758,66","29.758,65","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Festival della Canzone Arbereshe - Comune di San Demetrio Corone","Comune di San Demetrio Corone(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI S.DEMETRIO CORONE","64.400,00","64.400,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Premio Letterario ""V. Padula"" - Fondazione Vincenzo Padula","Comune di Acri(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Fondazione Vincenzo Padula","90.000,00","90.000,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"I luoghi di Saint Voyage Pittoresque - Club Unesco Cosenza","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Club Unesco Cosenza","28.800,00","28.800,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Eventi d'Estate - Comune di cassano allo Jonio","Comune di Cassano Allo Ionio(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI CASSANO ALLO IONIO","78.453,04","78.453,03","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Palio dell'Assunta e sagra del castrato - Comune di Longobucco","Comune di Longobucco(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI LONGOBUCCO","12.600,00","12.600,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"RAC-AZ2-LIPAC","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Universit� della Calabria - ARCAVACATA DI RENDE","1.818.000,00","1.818.000,00","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"RAC-AZ2-QUASIORA","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Universit� della Calabria - ARCAVACATA DI RENDE","1.800.000,00","1.800.000,00","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"AC - PIA - SETECO SPA","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SETECO SPA","930.060,00","930.060,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - INFOMOBILITY SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Infomobility srl ","661.325,00","661.325,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - E WAY ENTERPRISE B. S. SRL","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","E- Way Enterprise Bisiness Solutions","269.985,00","269.985,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - INFOMOBILITY .IT SPA","Comune di San Marco Argentano(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","INFOMOBILITY .IT SPA","1.310.000,00","1.310.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - SOUND ON SOUND SRL","Comune di Castrolibero(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SOUND ON SOUND SRL","294.000,00","294.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - EUROIDEE SRL","Comune di Corigliano Calabro(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","EUROIDEE SRL","937.000,00","937.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - SPROVIERI SRL","Comune di Corigliano Calabro(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SPROVIERI SRL","209.800,00","209.800,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - DATA POS SRL","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","DATA POS SRL","278.000,00","278.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - S.I.L.C. SPA","Comune di Corigliano Calabro(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","S.I.L.C. SOCIETA' INDUSTRIA LATERIZI CORIGLIANESE SPA","330.000,00","330.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - OLTRESTUDIO SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","OLTRESTUDIO SRL","813.832,00","813.832,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - GEOSYSTEMS GROUP SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","GEOSYSTEMS GROUP SRL","740.000,00","740.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - ALMA SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","ALMA SRL","445.543,00","445.543,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - MULTIMEDIA PRESS SRL","Comune di Orsomarso(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","MULTIMEDIA PRESS SRL","270.000,00","270.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - TOP CLASS SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Top Class","446.000,00","446.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - E.D.P.","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","E.D.P  Elettronic Devices Power srl ","220.159,00","220.159,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - ARTEMAT SRL","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","ARTEMAT SRL ","323.600,00","323.600,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - SMARTRES SPA","Comune di San Marco Argentano(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SMARTRES SPA","898.230,00","898.230,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - MAGIT INDUSTRIE SRL","Comune di Rossano(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","MAGIT INDUSTRIE SRL","748.000,00","748.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - H2I SRL","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","H21 SRL","652.368,00","652.368,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - HERZUM SOFTWARE SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","HERZUM SOFTWARE SRL","1.342.947,00","1.342.947,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - DLVSYSTEM SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","DLVSYSTEM SRL","467.651,00","467.651,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - EXEURA SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","EXEURA SRL","710.240,00","710.240,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - ID TECHNOLOGY SRL","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","ID TECHNOLOGY S.R.L.","269.760,00","269.760,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - SMARTLAB SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","SMARTLAB SRL","364.328,00","364.328,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - P.S.M. ASSOCIATI SRL","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","PSM Associati","419.396,00","419.396,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"AC - PIA - METHODI SRL","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Methodi s.r.l.","600.000,00","600.000,00","0,00","Programma Operativo FESR  2007/2013","Realizzazione dei Piani di Innovazione Aziendali ed Interaziendali previsti dai Pacchetti Integrati di Agevolazione e dai Contratti di Investimento."
"RAC-AZ3-ATENA 2","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Atena 2","910.000,00","910.000,00","0,00","Programma Operativo FESR  2007/2013","Progetti di Ricerca Industriale e di Sviluppo Sperimentale  nei Settori Strategici Regionali."
"Leoncavallo Festival - Comune di Montalto Uffugo","Comune di Montalto Uffugo(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI MONTALTO UFFUGO","114.171,36","114.171,35","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Con Lilli per una Calabria Solidale - Fondazione Lilli Funaro","Comune di Cosenza(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Fondazione Onlus ""Lilli Funaro""","47.505,65","47.505,65","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"La Rota Greca - Comune di Rota Greca","Comune di Rota Greca(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","COMUNE DI ROTA GRECA","3.281,00","3.281,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Festivart - Unical Centro Arti Musica e Spettacolo","Comune di Rende(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Universit� della Calabria - ARCAVACATA DI RENDE","167.107,28","167.107,28","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Estate Acrese tra musica arte e cultura - Comune di Acri","Comune di Acri(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Comune di Acri (C.F.)","99.400,00","99.400,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"SilainFesta - Ass. Cult. Altro Sud","Comune di Spezzano Della Sila(CS)","Regione Dipartimento 11: Cultura, Istruzione,  Universit�...","Associazione culturale Altrosud","99.231,00","99.231,00","0,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"Revisione, razionalizzazione ed ottimizzazione del servizio ...","Comune di Casole Bruzio(CS)","COMUNE DI CASOLE BRUZIO","COMUNE DI CASOLE BRUZIO","496.657,78","496.657,78","127.081,59","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
"Razionalizzazione e rieffic.to del sistema acquedottistico ","Comune di Santa Maria Del Cedr(CS)","COMUNE DI S.MARIA DEL CEDRO","COMUNE DI S.MARIA DEL CEDRO","242.054,55","242.054,55","94.133,00","Programma Operativo FESR  2007/2013","Azioni per il completamento, lﾴadeguamento, il riefficientamento e lﾴottimizzazione delle infrastrutture idriche degli ATO del Servizio Idrico Integrato (reti di distribuzione idrica, reti fognarie, depuratori)."
