"Titolo","Prov_Comune","Ben_Finale","Sog_Proponente","Importo","Impegni","Pagamenti","Programma","Articolazione_del_Programma"
"Intervento di riqualificazione energetica e illuminotecnica ...","Comune di Varapodio(RC)","COMUNE DI VARAPODIO","COMUNE DI VARAPODIO","101.052,63","96.235,72","96.235,72","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Programma operativo regionale risparmio energetico e conteni...","Comune di Villa San Giovanni(RC)","COMUNE DI VILLA S.GIOVANNI","COMUNE DI VILLA S.GIOVANNI","99.477,00","35.200,00","35.200,00","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"Lavori di adeguamento degli impianti di pubblica illuminazione","Comune di San Ferdinando(RC)","COMUNE DI S.FERDINANDO","COMUNE DI S.FERDINANDO","101.000,00","78.610,30","78.610,30","Programma Operativo FESR  2007/2013","Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dellﾴenergia per la diminuzione dei consumi negli usi finali civili e industriali."
"EVENTO MUSICALE E CULTURALE","Comune di Roccella Ionica(RC)","Regione Calabria Dipartimento 11 - Istruzione Ricerca Innovazion","Associazione per la Fondazione ""Rumori Mediterranei""","650.500,00","325.250,00","325.250,00","Programma Operativo FESR  2007/2013","Azioni per promuovere e qualificare la  realizzazione di eventi  culturali in grado di mobilitare significativi flussi di visitatori e turisti."
"AC - PIA - KIBERNETES SRL","Comune di Bovalino(RC)","Regione Dipartimento 5: Attivit� Produttive","KIBERNETES srl","196.256,00","196.256,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - GRAFICHE FEMIA","Comune di Marina Di Gioiosa Io(RC)","Regione Dipartimento 5: Attivit� Produttive","Grafiche Femia","65.900,00","65.900,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - LA NUOVA MANUFATTI RACCO","Comune di Siderno(RC)","Regione Dipartimento 5: Attivit� Produttive","LA NUOVA MANUFATTI RACCO DI FRAGOMENI G. E C. SNC","15.000,00","15.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA -  OMICRON COMPANY","Comune di Ardore(RC)","Regione Dipartimento 5: Attivit� Produttive","OMICRON COMPANY SRL","12.200,00","12.200,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - CIEFFE DI CAMILLO' FRANCESCO & C. SAS","Comune di Anoia(RC)","Regione Dipartimento 5: Attivit� Produttive","CIEFFE DI CAMILLO' FRANCESCO & C. SAS","94.052,00","94.052,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - ISOLAB SRL","Comune di Reggio Di Calabria(RC)","Regione Dipartimento 5: Attivit� Produttive","Isolab  srl","114.800,00","114.800,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - DITTA SAFFIOTI GIUSEPPE","Comune di Palmi(RC)","Regione Dipartimento 5: Attivit� Produttive","DITTA SAFFIOTI GIUSEPPE","6.000,00","6.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - FEMIA NICOLA DI FEMIA BENEDETTO & C.","Comune di Agnana Calabra(RC)","Regione Dipartimento 5: Attivit� Produttive","FEMIA NICOLA DI FEMIA BENEDETTO & C.","20.000,00","20.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - CADI DEI F.LLI MILASI SNC","Comune di Reggio Di Calabria(RC)","Regione Dipartimento 5: Attivit� Produttive","CADI dei F.lli Milasi & C. s.n.c.","195.500,00","195.500,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - ATLANTIS SRL","Comune di Santa Cristina D'Asp(RC)","Regione Dipartimento 5: Attivit� Produttive","ATLANTIS SRL","10.000,00","10.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - MEZZATESTA ANTONIO","Comune di Cosoleto(RC)","Regione Dipartimento 5: Attivit� Produttive","MEZZATESTA ANTONIO","5.000,00","5.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - MTA SRL","Comune di San Ferdinando(RC)","Regione Dipartimento 5: Attivit� Produttive","MTA SRL","83.000,00","83.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - FUDA ANTONIO SRL","Comune di Siderno(RC)","Regione Dipartimento 5: Attivit� Produttive","DITTA FUDA ANTONIO SRL","533.340,00","533.340,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - MANGIATORELLA SPA","Comune di Stilo(RC)","Regione Dipartimento 5: Attivit� Produttive","MANGIATORELLA SPA","257.800,00","257.800,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - F.M.B. TUBES SRL","Comune di Polistena(RC)","Regione Dipartimento 5: Attivit� Produttive","F.M.B. TUBES SRL","676.601,00","676.601,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - KIBERNETES SRL","Comune di Bovalino(RC)","Regione Dipartimento 5: Attivit� Produttive","KIBERNETES srl","279.508,00","279.508,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - GRAFICHE FEMIA","Comune di Marina Di Gioiosa Io(RC)","Regione Dipartimento 5: Attivit� Produttive","Grafiche Femia","3.380.000,00","3.380.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA - LA NUOVA MANUFATTI RACCO","Comune di Siderno(RC)","Regione Dipartimento 5: Attivit� Produttive","LA NUOVA MANUFATTI RACCO DI FRAGOMENI G. E C. SNC","1.492.000,00","1.492.000,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
"AC - PIA -  OMICRON COMPANY","Comune di Ardore(RC)","Regione Dipartimento 5: Attivit� Produttive","OMICRON COMPANY SRL","649.686,00","649.686,00","0,00","Programma Operativo FESR  2007/2013","Pacchetti Integrarti di Agevolazioni per sostenere la competitivit� delle imprese esistenti."
